reviewId,content,score,at,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,source
1515abca-7fad-4297-bb45-6a5176d4c1e0,very nice aap,5,2025-12-15 22:10:40,0,,,,,GooglePlay
51a0d82c-8d3e-4ca4-b703-14f66b5b27b8,ഞ്ഞ,5,2025-12-15 22:08:29,0,4.0.79,,,4.0.79,GooglePlay
da2f8363-6e9f-4a48-96f1-99a4c49edc18,good and perfect online booking service with very easy payment facilities.,5,2025-12-15 21:32:28,0,4.0.79,,,4.0.79,GooglePlay
40a810c2-fa45-4254-be2c-1c1273ea8aa3,best 👌 👍,5,2025-12-15 19:47:08,0,4.0.79,,,4.0.79,GooglePlay
66368333-b38c-42b5-87b3-47ddc23f57bb,ok,5,2025-12-15 19:38:19,0,4.0.79,,,4.0.79,GooglePlay
76c0fb6e-e666-486a-945a-587333892832,Very easy to book cylinder,5,2025-12-15 19:35:31,0,4.0.79,,,4.0.79,GooglePlay
cef2abbb-a6df-4ce4-aff8-04d6980aa38d,good,3,2025-12-15 19:26:00,0,4.0.79,,,4.0.79,GooglePlay
df0b1758-d5c5-4b11-b759-f2fc25cf9851,very good,5,2025-12-15 19:17:15,0,,,,,GooglePlay
151b5344-9f65-4977-96c4-68a2ed76a734,good,5,2025-12-15 19:16:07,0,4.0.79,,,4.0.79,GooglePlay
d908b036-468c-4702-a1ac-e7bc13885c3a,good,5,2025-12-15 19:07:44,0,4.0.79,,,4.0.79,GooglePlay
476f85ba-d4a2-4cf3-8a4e-8c749ec00dc3,excellent,5,2025-12-15 18:52:58,0,4.0.79,,,4.0.79,GooglePlay
123379e7-be3b-4a13-9e33-53a98aaf8467,the best,4,2025-12-15 18:48:24,0,4.0.79,,,4.0.79,GooglePlay
5782ea31-185d-42a6-b5c3-8f621650756f,good,3,2025-12-15 18:44:56,0,4.0.79,,,4.0.79,GooglePlay
f704b643-c084-44b1-88da-0aba68e0dcae,good 👍,5,2025-12-15 18:39:35,0,,,,,GooglePlay
524fef3c-b85e-459b-8fbe-8bdd87addc27,super,5,2025-12-15 18:38:41,0,4.0.79,,,4.0.79,GooglePlay
51f7f709-5dc3-4646-92dd-5b532e0e2c1b,good 😊,5,2025-12-15 18:31:45,0,4.0.78,,,4.0.78,GooglePlay
3bae3a8f-611e-4a79-bfa1-079f17bef1f8,best,5,2025-12-15 18:28:34,0,,,,,GooglePlay
6c926201-7458-458a-abee-47a198c9bbdc,nice,5,2025-12-15 18:19:26,0,4.0.79,,,4.0.79,GooglePlay
1fd48e75-f8ab-417d-9c39-8bf248fe93f5,good app for customer interface,5,2025-12-15 17:56:53,0,4.0.78,,,4.0.78,GooglePlay
fa3cf296-65b7-4912-8cf7-e8c7b6ba11b9,good service,5,2025-12-15 16:14:59,0,,,,,GooglePlay
05f990c0-f5ed-46cc-8c65-d32304d771fb,the drawback is only has to update every time while booking the Cylinder,4,2025-12-15 15:14:27,0,4.0.79,,,4.0.79,GooglePlay
8e610705-5797-4854-a769-aa514e769ea5,bad Service. delhivery Boy . mobile number Always Off,1,2025-12-15 14:59:54,0,,,,,GooglePlay
50543c97-31f2-4f68-897b-533b4bbc3722,good,5,2025-12-15 14:43:31,0,4.0.79,,,4.0.79,GooglePlay
22046d9d-2519-48ec-a247-5aae524f2d7a,good,5,2025-12-15 14:34:12,0,4.0.79,,,4.0.79,GooglePlay
d316bb89-0f13-4a92-95bb-e0dbf8184bb6,nice app 👍🏻👍🏻👍🏻,5,2025-12-15 14:22:13,0,4.0.79,,,4.0.79,GooglePlay
91f7e097-4d39-44b0-9735-a17ed909facd,"I have been trying to book a gas cylinder for several days, but I haven't been able to. I have uninstalled and reinstalled the application, but I still can't book the gas cylinder.",2,2025-12-15 14:16:38,0,4.0.79,"Hi Anuj,
We are extremely happy to know you had a great experience with BPCL. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",2022-03-02 21:15:17,4.0.79,GooglePlay
72cd9267-04c4-4472-9d16-747dded34a73,wah,5,2025-12-15 13:37:46,0,4.0.73,,,4.0.73,GooglePlay
