reviewId,content,score,at,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,source,author,retweets,replies
2000998620343230491,@BPCLLPG @BPCLimited @DirectorM_BPCL @cmdbpcl @PetroleumMin @BPCLMakLubes @BPCLRetail1 @subhankarRcgc I need 25 commercial empty cylinders in Ahmedabad. Pls contact me at VC28111985@GMAIL.COM,,2025-12-16T18:37:02+00:00,0,,,,,Twitter,vipulchauhan85,0,0
2000994822493257810,"@BPCLimited @MoPNG_eSeva
मेरा भारतगैस कंपनी का उपभोक्ता हूँ ओर मेरी गैस कापी में 2024 से 2025 तक के 12 सिलेंडर की एंट्री एजेंसी कर्मचारियों के हाथ से गैस सिलेंडर देने के बाद हुई है ओर जब की मेरे कॉपी में ऑनलाइन चेक करने पर पता लगा कि मेरे उपभोक्ता नंबर से 15 सिलेंडर की हुई",,2025-12-16T18:21:57+00:00,0,,,,,Twitter,ManjuRani817898,0,0
2000993708628644223,"@BPCLimited @MoPNG_eSeva
मेरा भारतगैस कंपनी का उपभोक्ता हूँ ओर मेरी गैस कापी में 2024 से 2025 तक के 12 सिलेंडर की एंट्री एजेंसी कर्मचारियों के हाथ से गैस सिलेंडर देने के बाद हुई है ओर जब की मेरे कॉपी में ऑनलाइन चेक करने पर पता लगा कि मेरे उपभोक्ता नंबर से 15 सिलेंडर की हुई",,2025-12-16T18:17:31+00:00,0,,,,,Twitter,ajay_verma68332,0,0
2000990654651097490,"@BPCLimited @MoPNG_eSeva
मेरा भारतगैस कंपनी का उपभोक्ता हूँ ओर मेरी गैस कापी में 2024 से 2025 तक के 12 सिलेंडर की एंट्री एजेंसी कर्मचारियों के हाथ से गैस सिलेंडर देने के बाद हुई है ओर जब की मेरे कॉपी में ऑनलाइन चेक करने पर पता लगा कि मेरे उपभोक्ता नंबर से 15 सिलेंडर की हुई",,2025-12-16T18:05:23+00:00,0,,,,,Twitter,AjayKumar253997,0,0
2000988699249807584,@BPCLimited Salute to the nation,,2025-12-16T17:57:37+00:00,0,,,,,Twitter,Subhank86105738,0,0
2000963336641691676,@MoPNG_eSeva @BPCLimited I would appreciate it if you too paid some attention towards this issue like @MoPNG_eSeva,,2025-12-16T16:16:50+00:00,0,,,,,Twitter,Amit_Sain_1987,0,0
2000962755793420614,@BPCLimited IBP https://t.co/V97dn4oGPH,,2025-12-16T16:14:31+00:00,0,,,,,Twitter,SubashMehta8,0,0
2000961036384657558,@BPCLimited @PetroleumMin @HardeepSPuri And will you guys cover our repair expenses from your shitty petrol blending.all eyes on you asshole epstein island blower @HardeepSPuri,,2025-12-16T16:07:41+00:00,0,,,,,Twitter,kurian_arun97,0,0
2000958894970167788,RT @BPCLimited: Small maintenance choices play a critical role in keeping homes safe. Regular attention to everyday LPG connections helps p…,,2025-12-16T15:59:11+00:00,0,,,,,Twitter,PetroleumMin,2,0
2000958875777057044,"RT @BPCLimited: On Vijay Diwas, BPCL joins the nation in honouring a historic victory that stands as a testament to India’s resolve, unity,…",,2025-12-16T15:59:06+00:00,0,,,,,Twitter,PetroleumMin,2,0
2000958505562595400,Pure For Sure @BPCLimited 💙🫶🏻 https://t.co/Z5aPY7kS6B https://t.co/5vqhb83FAX,,2025-12-16T15:57:38+00:00,0,,,,,Twitter,King_steve07,0,0
2000957932205392380,"RT @BPCLimited: In the recent times, where farmers have been working at dawn and wastes piling up in the towns, a quiet revolution is takin…",,2025-12-16T15:55:21+00:00,0,,,,,Twitter,PetroleumMin,1,0
