reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1515abca-7fad-4297-bb45-6a5176d4c1e0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,very nice aap,5,0,,2025-12-15 22:10:40,,,
51a0d82c-8d3e-4ca4-b703-14f66b5b27b8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ഞ്ഞ,5,0,4.0.79,2025-12-15 22:08:29,,,4.0.79
da2f8363-6e9f-4a48-96f1-99a4c49edc18,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good and perfect online booking service with very easy payment facilities.,5,0,4.0.79,2025-12-15 21:32:28,,,4.0.79
40a810c2-fa45-4254-be2c-1c1273ea8aa3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best 👌 👍,5,0,4.0.79,2025-12-15 19:47:08,,,4.0.79
66368333-b38c-42b5-87b3-47ddc23f57bb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,4.0.79,2025-12-15 19:38:19,,,4.0.79
76c0fb6e-e666-486a-945a-587333892832,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very easy to book cylinder,5,0,4.0.79,2025-12-15 19:35:31,,,4.0.79
cef2abbb-a6df-4ce4-aff8-04d6980aa38d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,3,0,4.0.79,2025-12-15 19:26:00,,,4.0.79
df0b1758-d5c5-4b11-b759-f2fc25cf9851,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,very good,5,0,,2025-12-15 19:17:15,,,
151b5344-9f65-4977-96c4-68a2ed76a734,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,4.0.79,2025-12-15 19:16:07,,,4.0.79
d908b036-468c-4702-a1ac-e7bc13885c3a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,4.0.79,2025-12-15 19:07:44,,,4.0.79
